timestamp,consumerCount,producerCount,topicCount,queueCount,msgMem,pendingMessageCount,connectionCount,sessionCount,durableCount,pendingMessageSize,inboundMessageCount,inboundMessageRate,outboundMessageCount,outboundMessageRate,diskReadRate,diskWriteRate,asyncDBSize,syncDBSize,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,inboundBytesRate,msgMemPooled,routeRecoverCount,RespTime
Fri Apr 27 15:45:34 163 PDT 2018,2104,1271,93,858,780003749,2181591,666,3302,164,2880713836,24455210,4,164923403,4,0,29696,3844419072,131584,7757,0,45,7757,805775360,0,15
Fri Apr 27 15:45:54 198 PDT 2018,2105,1271,93,858,780020535,2181601,666,3303,164,2880724110,24455303,1,164923496,1,0,16896,3844419072,131584,217,0,33,217,805775360,0,16
Fri Apr 27 15:46:14 270 PDT 2018,2108,1271,93,858,780045943,2181601,669,3306,164,2880724110,24455382,1,164923575,1,0,17920,3844419072,131584,217,0,35,217,805775360,0,15
Fri Apr 27 15:46:34 301 PDT 2018,2108,1271,93,858,780045943,2181601,669,3306,164,2880724110,24455468,4,164923661,4,0,26407,3844419072,131584,4308,0,45,4308,805775360,0,16
Fri Apr 27 15:46:54 320 PDT 2018,2108,1271,93,858,780032560,2181592,669,3306,164,2880714863,24455547,2,164923740,2,0,20452,3844419072,131584,639,0,39,639,805775360,0,16
Fri Apr 27 15:47:14 345 PDT 2018,2108,1271,93,858,780032294,2181593,669,3306,164,2880715897,24455631,0,164923823,0,0,18395,3844419072,131584,216,0,35,216,805775360,0,14
Fri Apr 27 15:47:34 362 PDT 2018,2108,1271,93,858,780032030,2181593,669,3306,164,2880715897,24455718,3,164923910,3,0,19741,3844419072,131584,639,0,38,639,805775360,0,15
Fri Apr 27 15:47:54 414 PDT 2018,2108,1272,93,858,780040245,2181594,670,3307,164,2880716125,24455799,4,164923990,4,0,24551,3844419072,131584,2551,0,44,2551,805775360,0,21
Fri Apr 27 15:48:14 430 PDT 2018,2111,1272,93,858,780042083,2181594,670,3309,164,2880717114,24455881,5,164924072,5,0,24015,3844419072,131584,2261,0,44,2261,805775360,0,16
Fri Apr 27 15:48:34 447 PDT 2018,2109,1272,93,858,780040851,2181594,670,3307,164,2880717114,24455972,4,164924163,4,0,23504,3844419072,131584,1057,0,45,1057,805775360,0,14
